"","Common Bulbul","Blue Monkey","Blackcap","Red-tailed Monkey","Violet-backed Starling","Willow Warbler","African Thrush","Yellow-whisk. Greenbul","African Yellow White-eye","Bl.-a.-wh. Casq. Hornbill","Yellow-spottet Barbet","East. bl.-a.-wh. Colobus","Yellow-rump. Tinkerbird","Joyful Greenbul","Grey-throated Barbet","Shelley's Greenbul","Forest Weaver","Toro Olive Greenbul","Plain Greenbul","Red-legg. Sun Squirrel","Dusky Tit","Uganda Wood-Warbler","Cabani's Greenbul","Yellow-billed Barbet","Slender-billed Greenbul","African Citril","Buff-throated Apalis","Honeyguide Greenbul","East. Olivaceous Warbler","Little Greenbul","Yellow-fronted Canary","Ross's Turaco","Speckled Mousebird","Olive Baboon","Grey-head. Negrofinch","Tambourine Dove","Hairy-breasted Barbet","African Green Pigeon","Olive Thrush","Common Bristlebill","W. Black-head. Oriole","Wood Warbler","Black Cuckoo","Garden Warbler","Vieillot's Weaver","Brown-chested Alethe","Turners Eremomela","Ansorge's Greenbul","Black-crowned Waxbill","Wh.-breast. Negrofinch","African Blue Flycatcher","Black-lored Babbler","Black-headed Weaver","Brown-capped Weaver","Chestnut Wattle-eye","Brown-throat. Wattle-eye","Spectacled Weaver","Afr. Parad. Flycatcher","African Penduline Tit","Beglafecht Weaver","Bl.-fac. Rufous Warbler","Black-necked Weaver","Blue-headed Coucal","Crowned Hornbill","Double-toothed Barbet","Grey-winged Robin","Lemon Dove","L¨¹hder's Bush-Shrike","Red-headed Bluebill","Common Redstart","Scarlet-chested Sunbird","White-bellied Canary","White-bellied Tit","White-chinned Prinia","African Golden Oriole","Amethyst Sunbird","Banded Prinia","Black Cuckoo-Shrike","Cassin's Honeyguide","Fork-tailed Drongo","Greater Whitethroat","Green Hylia","Green-headed Sunbird","Eastern Olive Sunbird","Red-headed Malimbe","Snowy-crown. Robin-Chat","White-brow. Robin-Chat","Yellow-throat. Greenbul"
"Rh.pr",6,0,5,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cl.ca",0,0,6,0,0,0,1,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"To.as",0,0,7,1,0,0,0,2,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cu.fa",0,0,0,0,0,0,0,2,0,0,1,0,1,4,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pe.vo",0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pi.gu",0,0,2,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al.ab",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Co.eu",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ps.pe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dr.fr",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ru.ni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
